hgnc_id	symbol	ensembl_gene_id	% identical aa >0	% identical aa >10	% identical aa >20	% identical aa >30	% identical aa >40	% identical aa >50
HGNC:5	A1BG	ENSG00000121410	25	23	1	0	0	0
HGNC:24086	A1CF	ENSG00000148584	35	20	2	2	2	0
HGNC:7	A2M	ENSG00000175899	8	8	8	2	1	1
HGNC:23336	A2ML1	ENSG00000166535	8	8	8	2	0	0
HGNC:30005	A3GALT2	ENSG00000184389	3	3	3	2	0	0
HGNC:18149	A4GALT	ENSG00000128274	1	1	1	1	0	0
HGNC:17968	A4GNT	ENSG00000118017	1	1	1	1	0	0
HGNC:13666	AAAS	ENSG00000094914	0	0	0	0	0	0
HGNC:21298	AACS	ENSG00000081760	13	13	2	0	0	0
HGNC:17	AADAC	ENSG00000114771	5	5	4	4	2	1
HGNC:24427	AADACL2	ENSG00000197953	5	5	4	2	1	1
HGNC:32037	AADACL3	ENSG00000188984	5	5	4	1	1	1
HGNC:32038	AADACL4	ENSG00000204518	5	5	4	3	1	1
HGNC:17929	AADAT	ENSG00000109576	7	7	1	0	0	0
HGNC:25662	AAGAB	ENSG00000103591	0	0	0	0	0	0
HGNC:19679	AAK1	ENSG00000115977	2	1	1	1	1	0
HGNC:30205	AAMDC	ENSG00000087884	0	0	0	0	0	0
HGNC:18	AAMP	ENSG00000127837	1	1	1	0	0	0
HGNC:19	AANAT	ENSG00000129673	0	0	0	0	0	0
HGNC:15886	AAR2	ENSG00000131043	0	0	0	0	0	0
HGNC:33842	AARD	ENSG00000205002	3	2	0	0	0	0
HGNC:20	AARS	ENSG00000090861	2	1	1	1	1	0
HGNC:21022	AARS2	ENSG00000124608	2	2	1	1	1	0
HGNC:28417	AARSD1	ENSG00000266967	2	2	2	0	0	0
HGNC:23993	AASDH	ENSG00000157426	13	1	0	0	0	0
HGNC:14235	AASDHPPT	ENSG00000149313	0	0	0	0	0	0
HGNC:17366	AASS	ENSG00000008311	0	0	0	0	0	0
HGNC:19235	AATF	ENSG00000275700	0	0	0	0	0	0
HGNC:21	AATK	ENSG00000181409	1	1	1	1	0	0
HGNC:23	ABAT	ENSG00000183044	4	4	1	0	0	0
HGNC:29	ABCA1	ENSG00000165029	11	11	6	5	3	1
HGNC:32	ABCA2	ENSG00000107331	11	11	6	3	0	0
HGNC:33	ABCA3	ENSG00000167972	11	11	11	6	0	0
HGNC:34	ABCA4	ENSG00000198691	11	11	6	5	2	1
HGNC:35	ABCA5	ENSG00000154265	11	11	11	4	3	0
HGNC:36	ABCA6	ENSG00000154262	11	11	11	4	4	3
HGNC:37	ABCA7	ENSG00000064687	11	11	7	5	2	1
HGNC:38	ABCA8	ENSG00000141338	11	11	11	4	4	3
